,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
47,Al Nakhil Dist.,26.438260867096776,50.08766624467742,معجنات و مشويات فاكهة لبنان,26.43888804911178,50.08302851381792,Lebanese Restaurant
48,Al Nakhil Dist.,26.438260867096776,50.08766624467742,Yamal AlSham (يامال الشام),26.435907826997497,50.08430211540702,Middle Eastern Restaurant
49,Al Nakhil Dist.,26.438260867096776,50.08766624467742,Herfy,26.435897873277995,50.08467187368338,Fast Food Restaurant
50,Al Nakhil Dist.,26.438260867096776,50.08766624467742,مطعم مشوار - شارع المزارع | Mishwar Resturant,26.437603799761572,50.08338365174026,Middle Eastern Restaurant
51,Al Nakhil Dist.,26.438260867096776,50.08766624467742,Burger King,26.435875,50.088216,Burger Joint
52,Al Nakhil Dist.,26.438260867096776,50.08766624467742,Mini Starbucks,26.435372,50.088091,Coffee Shop
53,Al Nakhil Dist.,26.438260867096776,50.08766624467742,إشارة المركزي الملعونة,26.436730788785656,50.09063548447966,Intersection
54,Al Nakhil Dist.,26.438260867096776,50.08766624467742,زووم Zoom,26.435137,50.08838,Market
55,Al Nakhil Dist.,26.438260867096776,50.08766624467742,Hill Of Pomegranate,26.437210691669808,50.08367471202719,Burger Joint
56,Al Nakhil Dist.,26.438260867096776,50.08766624467742,الجوكر احلى محل شيشه,26.435005772182883,50.085626859439294,Smoke Shop
57,Al Nakhil Dist.,26.438260867096776,50.08766624467742,بيت الأسعار للبضائع المخفضة,26.437646,50.091841,Discount Store
58,Al Nakhil Dist.,26.438260867096776,50.08766624467742,FLUFFY,26.43673,50.083694,Burger Joint
59,Al Nakhil Dist.,26.438260867096776,50.08766624467742,Al Fateerah الفطيره,26.434649,50.085905,BBQ Joint
60,Al Nakhil Dist.,26.438260867096776,50.08766624467742,مندي الدانة,26.43451576147745,50.086078522051274,Middle Eastern Restaurant
61,Al Nakhil Dist.,26.438260867096776,50.08766624467742,Aldaiji Shopping Center (مركز الدعيجي للتسويق),26.438942,50.083194,Grocery Store
62,Al Nakhil Dist.,26.438260867096776,50.08766624467742,Aseer Ghairعصير غير,26.43857951721507,50.08290189985858,Juice Bar
63,Al Nakhil Dist.,26.438260867096776,50.08766624467742,إشارة تقاطع مستشفى المركزي,26.43494081426075,50.08463823192929,Intersection
64,Al Nakhil Dist.,26.438260867096776,50.08766624467742,المركز الحديث للخياطه الرجالية,26.439501,50.083043,Tailor Shop
65,Al Nakhil Dist.,26.438260867096776,50.08766624467742,الغامدي للأجهزة المنزلية والتكييف,26.43763314999142,50.092190853140565,Electronics Store
66,Al Nakhil Dist.,26.438260867096776,50.08766624467742,Hyper Plaza,26.43437120884654,50.08544117689865,Shopping Mall
67,Al Qazaz Dist.,26.435691584255316,50.09123797680851,Abu Hilal Restaurants (مطاعم أبو هلال),26.436350141365995,50.08980754877885,Breakfast Spot
68,Al Qazaz Dist.,26.435691584255316,50.09123797680851,Hashim Restaurants (مطاعم هاشم),26.437428639468074,50.09217970223732,Falafel Restaurant
69,Al Qazaz Dist.,26.435691584255316,50.09123797680851,Sendan Hotel,26.436092,50.087827,Hotel
70,Al Qazaz Dist.,26.435691584255316,50.09123797680851,مكتبة المريخ,26.433035488963423,50.09317508594842,Bookstore
71,Al Qazaz Dist.,26.435691584255316,50.09123797680851,السلطان ابراهيم للأسماك,26.436285625219867,50.09436963888682,Fish & Chips Shop
72,Al Qazaz Dist.,26.435691584255316,50.09123797680851,سوق الدمام الشعبي,26.43718,50.095098,Market
73,Al Qazaz Dist.,26.435691584255316,50.09123797680851,Turkish House Restaurants,26.43523910517915,50.087048678786886,Turkish Restaurant
74,Al Qazaz Dist.,26.435691584255316,50.09123797680851,إشارة المركزي الملعونة,26.436730788785656,50.09063548447966,Intersection
75,Al Qazaz Dist.,26.435691584255316,50.09123797680851,بيت الأسعار للبضائع المخفضة,26.437646,50.091841,Discount Store
76,Al Qazaz Dist.,26.435691584255316,50.09123797680851,زووم Zoom,26.435137,50.08838,Market
77,Al Qazaz Dist.,26.435691584255316,50.09123797680851,Burger King,26.435875,50.088216,Burger Joint
78,Al Qazaz Dist.,26.435691584255316,50.09123797680851,Royal Malabar,26.437604023646593,50.093456155108065,Indian Restaurant
79,Al Qazaz Dist.,26.435691584255316,50.09123797680851,Mini Starbucks,26.435372,50.088091,Coffee Shop
80,Al Qazaz Dist.,26.435691584255316,50.09123797680851,Patchi,26.43347529393596,50.08818538463861,Chocolate Shop
81,Al Badiyah Dist.,26.4285000852381,50.089511678809515,مطعم لقمتي,26.429953,50.085566,Middle Eastern Restaurant
82,Al Badiyah Dist.,26.4285000852381,50.089511678809515,Abu Hilal Restaurants (مطاعم ابو هلال),26.43076838087042,50.09215542874939,Restaurant
83,Al Badiyah Dist.,26.4285000852381,50.089511678809515,The Medici (أجهزة ومعدات طبية),26.429383439857673,50.09353637695312,Pharmacy
84,Al Badiyah Dist.,26.4285000852381,50.089511678809515,أجواء التعارف للإيريلات,26.42727792651602,50.08528560547884,Electronics Store
85,Al Badiyah Dist.,26.4285000852381,50.089511678809515,الأسس الخليجية للمستلزمات الطبية,26.431131,50.085753,Medical Supply Store
86,Al Badiyah Dist.,26.4285000852381,50.089511678809515,Red Tag,26.431247564460737,50.085566638012345,Department Store
87,Ad Dawasir Dist.,26.444518722499993,50.10346938875,مجوهرات ضياء الناصر,26.445071,50.10303,Jewelry Store
88,Ad Dawasir Dist.,26.444518722499993,50.10346938875,فوال القناعة,26.443876,50.10385,Breakfast Spot
89,Ad Dawasir Dist.,26.444518722499993,50.10346938875,حسن النمر للمجوهرات,26.445791926623375,50.10235008119806,Jewelry Store
90,Ad Dawasir Dist.,26.444518722499993,50.10346938875,Baskin Robbins (باسكن روبنز),26.446512822834457,50.1036577152617,Ice Cream Shop
91,Ad Dawasir Dist.,26.444518722499993,50.10346938875,FAWAL ALQANA3H (فوال القناعة),26.44370592894702,50.10382606631102,Restaurant
92,Ad Dawasir Dist.,26.444518722499993,50.10346938875,Dammam Souk (سوق الحب),26.44516079614768,50.10349519462243,Market
93,Ad Dawasir Dist.,26.444518722499993,50.10346938875,سوق البشوت,26.443113325351998,50.10307738085777,Men's Store
94,Ad Dawasir Dist.,26.444518722499993,50.10346938875,ركن الكبة,26.44484434409256,50.102983163345336,Turkish Home Cooking Restaurant
95,Ad Dawasir Dist.,26.444518722499993,50.10346938875,Al Danah Commercial Center,26.44236128553149,50.10602567044776,Men's Store
96,Ad Dawasir Dist.,26.444518722499993,50.10346938875,سوق عيال ناصر,26.44332094425622,50.10350021455833,Market
97,Ad Dawasir Dist.,26.444518722499993,50.10346938875,الدانة مول/dana Mall,26.441266825962877,50.106457843228235,Clothing Store
98,Ad Dawasir Dist.,26.444518722499993,50.10346938875,Seiko Dammam/سيكو الدمام,26.4427094982342,50.10002149870573,Shop & Service
99,Ad Dawasir Dist.,26.444518722499993,50.10346938875,ليالينا لجميع الكلف والفصوص والخيوط,26.445107,50.102281,Arts & Crafts Store
100,Ad Dawasir Dist.,26.444518722499993,50.10346938875,مجوهرات العبدالعزيز,26.445957021698767,50.102335600574,Jewelry Store
101,Ad Dawasir Dist.,26.444518722499993,50.10346938875,مصاغات الأربش,26.44532844180775,50.10347996840375,Shop & Service
102,Ad Dawasir Dist.,26.444518722499993,50.10346938875,سوق الدمّام,26.445106254379745,50.10409049273644,Market
103,Ad Dawasir Dist.,26.444518722499993,50.10346938875,مجوهرات الحسناء,26.444800326630872,50.10439376977418,Jewelry Store
104,Ad Dawasir Dist.,26.444518722499993,50.10346938875,مجوهرات رذاذ  Diamond Section,26.445463668548815,50.103972090389924,Jewelry Store
105,Ad Dawasir Dist.,26.444518722499993,50.10346938875,Lana Phones,26.445809,50.10456,Mobile Phone Shop
106,Ad Dawasir Dist.,26.444518722499993,50.10346938875,Diamond Sea (مجوهرات بحرالالماس),26.446212080488333,50.10232054105701,Jewelry Store
107,Ad Dawasir Dist.,26.444518722499993,50.10346938875,Electrical Materials (محلات المواد الكهربائية),26.443408605761782,50.10555340321181,Home Service
108,Ad Dawasir Dist.,26.444518722499993,50.10346938875,الشواف للمشالح الفاخرة,26.442507447291074,50.10199927225308,Men's Store
109,Ad Dawasir Dist.,26.444518722499993,50.10346938875,اللؤلؤة مول,26.446908434311116,50.10302834240161,Shopping Mall
110,Ad Dawasir Dist.,26.444518722499993,50.10346938875,سوق الحساويه,26.442320592450763,50.10125132491889,Food Court
111,Ad Dawasir Dist.,26.444518722499993,50.10346938875,إشارة سوق الحب,26.446817112076715,50.106522291454894,Intersection
112,Ad Dawasir Dist.,26.444518722499993,50.10346938875,لؤلؤة الشرق للذهب و المجوهرات,26.442137,50.10043,Jewelry Store
113,Ad Dawasir Dist.,26.444518722499993,50.10346938875,EL-FALEH | بيت الرياضة الفالح,26.44091,50.104765,Sporting Goods Shop
114,Ad Dawasir Dist.,26.444518722499993,50.10346938875,مكتب الشملان للاستشارات القانونية | SHAMLAN Law Firm,26.444541,50.10776,Lawyer
115,Ad Dawasir Dist.,26.444518722499993,50.10346938875,"Manila Shopping Centre, King Saud St. Dammam, Saudi Arabia",26.44757080078125,50.10052490234375,Convenience Store
116,Ad Dawasir Dist.,26.444518722499993,50.10346938875,سوق الملابس الرجالية,26.440939618924453,50.10127642367299,Men's Store
117,Ad Dawasir Dist.,26.444518722499993,50.10346938875,SAMBA SPEEDCASH - SEICO,26.442827,50.098831,ATM
118,Al Anud Dist.,26.447175953070165,50.072611062982446,مخبز العنود,26.448995817936243,50.07457221344309,Bakery
119,Al Anud Dist.,26.447175953070165,50.072611062982446,Aroma Café أروما كافيه,26.445816037908337,50.071351039859174,Coffee Shop
120,Al Anud Dist.,26.447175953070165,50.072611062982446,Kösebasi (كوشي باشي),26.445802834540963,50.07659431503378,Turkish Restaurant
121,Al Anud Dist.,26.447175953070165,50.072611062982446,مجلس كرك وچباتي,26.443838,50.070386,Café
122,Al Anud Dist.,26.447175953070165,50.072611062982446,Dunkin',26.451565065734318,50.072961605206395,Donut Shop
123,Al Anud Dist.,26.447175953070165,50.072611062982446,Bab Alhawaej Grocery (بقالة ابو الحوائج),26.448143,50.074271,Grocery Store
124,Al Anud Dist.,26.447175953070165,50.072611062982446,Vegitable Market,26.445749282836914,50.07084655761719,Grocery Store
125,Al Anud Dist.,26.447175953070165,50.072611062982446,مشغل سيمان النسائي,26.445182413903332,50.07057106729917,Cosmetics Shop
126,Al Anud Dist.,26.447175953070165,50.072611062982446,مركز قوة الطاقة الرياضي,26.443998,50.070094,Sports Club
127,Al Anud Dist.,26.447175953070165,50.072611062982446,Zain,26.444429,50.069458,Mobile Phone Shop
128,Al Anud Dist.,26.447175953070165,50.072611062982446,مركز إكليل العروس النسائي,26.451276,50.072389,Cosmetics Shop
129,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Danderah I دندرة,26.476168,50.118649,Seafood Restaurant
130,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Sport time soccer fields (ملاعب سبورت تايم),26.47619782443317,50.12460258488208,Soccer Field
131,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Elul Cafe,26.476702,50.125482,Café
132,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Al Fishawi Cafe (مقهى الفيشاوي),26.476227381713187,50.11835369719215,Café
133,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Star Bowling (ستار بولينج),26.480070231019322,50.11753994598717,Bowling Alley
134,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Oceana Restaurant مطعم أوشيانا,26.47837586674144,50.117276174902486,Indian Restaurant
135,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,القثمي للأقمشة,26.480367817124097,50.11898282404552,Furniture / Home Store
136,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,détour subs ديتور صبز,26.47621242106119,50.125299272777035,Sandwich Place
137,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,"فريج الطيبين "" جباتي و كرك """,26.473499654370663,50.1181704558997,Middle Eastern Restaurant
138,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,LOOP,26.481119,50.118145,Hookah Bar
139,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,برجر أيلاند Burger Island,26.476130927700755,50.118779670581944,Burger Joint
140,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Al-Dawaa Pharmacy (صيدلية الدواء),26.48094478339422,50.119133359551,Pharmacy
141,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Sport Time Café - مقهى سبورت تايم (مقهى سبورت تايم),26.476053660354097,50.12466194934254,Café
142,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Chef Sami (الشيف سامي),26.476056,50.125367,Middle Eastern Restaurant
143,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Blameda restaurant (مطعم بلاميدا),26.48003906273892,50.11748201977007,Turkish Restaurant
144,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Waha Al Shatea Market (واحة الشاطئ للتسويق),26.47332473807994,50.12270788864207,Supermarket
145,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,معجنات الشاطئ,26.4764431637715,50.11851168235627,Bakery
146,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Sufrah Restorant (مطعم سفرة),26.473606769064897,50.118145473197664,Middle Eastern Restaurant
147,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Safeway (أسواق التميمي),26.47721881466347,50.12082649023099,Market
148,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,باسكن اللي بحينا,26.476597,50.121922,Ice Cream Shop
149,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,مشويات الضيوف B.B.Q,26.47634613898289,50.118441675624474,BBQ Joint
150,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,First Care Petshop,26.476356,50.11842,Pet Store
151,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,YARD Resturant,26.476879,50.11723,Restaurant
152,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,ملعب اكاديمية إنتر سبورتي,26.476293859815193,50.12483751206518,Recreation Center
153,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,ملعب مستكشف المواهب,26.47626025500901,50.12487385031124,Soccer Field
154,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,مطعم بلاميدا,26.479956621640035,50.11746728603582,Coffee Shop
155,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Zoom Market,26.478569,50.125066,Convenience Store
156,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,قهوة الشاطئ,26.4801885587052,50.117396990775696,Café
157,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,دار الهدايا الشرقية,26.481218,50.118718,Furniture / Home Store
158,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,StradiVarius,26.473406318389852,50.122508672854664,Women's Store
159,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Chili's,26.473059321860585,50.12004316140735,American Restaurant
160,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Skreys,26.476254,50.125421,Café
161,Ash Shati Al Gharbi Dist.,26.4773700019512,50.12071373817075,Al-Dawaa pharmacy (صيدلية الدواء),26.473351252757475,50.12270488407189,Pharmacy
162,Al Manar Dist.,26.371894233783785,50.04167454513512,Karak Tanoor (كرك تنور),26.37064150368249,50.038045462933745,Indian Restaurant
163,Al Manar Dist.,26.371894233783785,50.04167454513512,Almanar Park,26.373293616754847,50.0386241305833,Park
164,Al Manar Dist.,26.371894233783785,50.04167454513512,ديوانية وقت القهوة,26.37402308775604,50.043085168791,Café
165,Al Manar Dist.,26.371894233783785,50.04167454513512,Steel Power Gym (صالة القوة الحديدية),26.368709657075787,50.04458896376476,Gym
166,Al Manar Dist.,26.371894233783785,50.04167454513512,كرك تنور,26.373384256818273,50.042330517826485,Breakfast Spot
167,Al Manar Dist.,26.371894233783785,50.04167454513512,عصائر الفيتامين,26.373657,50.042587,Juice Bar
168,Al Manar Dist.,26.371894233783785,50.04167454513512,مؤسسة قطوف وحلا التجارية,26.373519,50.04304,Warehouse Store
169,Al Manar Dist.,26.371894233783785,50.04167454513512,مكتبة دنيا العلوم للقرطاسية,26.373772,50.04275,Bookstore
170,Al Manar Dist.,26.371894233783785,50.04167454513512,AlHammad's Farm,26.369622679035743,50.04127398335938,Farm
171,Al Manar Dist.,26.371894233783785,50.04167454513512,Keinaz women's beauty centre,26.37309015059724,50.0382310782191,Plaza
172,Al Manar Dist.,26.371894233783785,50.04167454513512,دكان فلافل,26.374996,50.043973,Falafel Restaurant
173,Al Manar Dist.,26.371894233783785,50.04167454513512,معجنات العبير الدمشقي,26.375154,50.044458,Bakery
174,Al Manar Dist.,26.371894233783785,50.04167454513512,صالة القوة الحديدية,26.368705765434267,50.044586505933594,Gym
175,Al Manar Dist.,26.371894233783785,50.04167454513512,مخبز | نور الصباح,26.375172,50.044562,Breakfast Spot
176,An Nur Dist.,26.42843979358695,50.02347319663045,ملعب كاستاليا,26.429410870935506,50.0225577214978,Soccer Field
177,An Nur Dist.,26.42843979358695,50.02347319663045,المقص الأفضل,26.426107,50.023692,Arts & Crafts Store
178,An Nur Dist.,26.42843979358695,50.02347319663045,Akleel Al Wadi,26.42512,50.024471,Turkish Restaurant
179,An Nur Dist.,26.42843979358695,50.02347319663045,Cooking Crown Traditional Cuisine (تاج الطهي للمأكولات الشعبية),26.425014,50.024235,Middle Eastern Restaurant
180,An Nur Dist.,26.42843979358695,50.02347319663045,ملاعب النخبة,26.428602890762484,50.027492004568025,Soccer Stadium
181,As Salam Dist.,26.45445445,50.10286393137931,Al-Jowder Suiets,26.45446904776028,50.104120145042465,Hotel
182,As Salam Dist.,26.45445445,50.10286393137931,Caribou Coffee,26.454341,50.105438,Coffee Shop
183,As Salam Dist.,26.45445445,50.10286393137931,Bath And Body Works,26.4549558,50.1057136,Cosmetics Shop
184,As Salam Dist.,26.45445445,50.10286393137931,Tim Hortons,26.456144,50.105344,Coffee Shop
185,As Salam Dist.,26.45445445,50.10286393137931,CINNABON (سينابون),26.455388626897946,50.1058947713953,Café
186,As Salam Dist.,26.45445445,50.10286393137931,Studio Banat (ستوديو بنات),26.456543,50.101387,Photography Studio
187,As Salam Dist.,26.45445445,50.10286393137931,Body Shop,26.454719953607633,50.105722922413726,Cosmetics Shop
188,As Salam Dist.,26.45445445,50.10286393137931,Seafront (الواجهة البحرية),26.457178,50.105934,Waterfront
189,As Salam Dist.,26.45445445,50.10286393137931,Avior cafe & restaruant (اڤيور),26.456619576040264,50.10119809030859,Café
190,As Salam Dist.,26.45445445,50.10286393137931,بوفية الملاعب,26.45345532321803,50.10620430315407,Sandwich Place
191,As Salam Dist.,26.45445445,50.10286393137931,أزال,26.455431,50.105725,Middle Eastern Restaurant
192,As Salam Dist.,26.45445445,50.10286393137931,Fruity Dip (فروتي ديب),26.455087,50.105647,Coffee Shop
193,As Salam Dist.,26.45445445,50.10286393137931,Oceana (اوشيانا),26.45542447360418,50.10537769974933,Indian Restaurant
194,As Salam Dist.,26.45445445,50.10286393137931,H&M,26.454728,50.105683,Clothing Store
195,As Salam Dist.,26.45445445,50.10286393137931,عمو حمزة,26.45665780490182,50.10141170117617,Seafood Restaurant
196,As Salam Dist.,26.45445445,50.10286393137931,Segafredo Zanetti,26.454871993203973,50.10566502420636,Coffee Shop
197,As Salam Dist.,26.45445445,50.10286393137931,Marina Mall (مارينا مول),26.455533844487103,50.1058405723947,Shopping Mall
198,As Salam Dist.,26.45445445,50.10286393137931,Ma’areb Resturant (مطعم مأرب),26.45235,50.105861,Yemeni Restaurant
199,As Salam Dist.,26.45445445,50.10286393137931,Alnemer Jewellery  جواهر النمر,26.455168,50.105,Jewelry Store
200,As Salam Dist.,26.45445445,50.10286393137931,مجوهرات عروس البحرين,26.455150267358334,50.10510206222534,Jewelry Store
201,As Salam Dist.,26.45445445,50.10286393137931,مجوهرات سوار,26.455414,50.105239,Jewelry Store
202,As Salam Dist.,26.45445445,50.10286393137931,Al Salam (حديقه السلام),26.452225733209872,50.103926910629944,Playground
203,As Salam Dist.,26.45445445,50.10286393137931,Movenpick,26.455608358149696,50.10524215742638,Ice Cream Shop
204,As Salam Dist.,26.45445445,50.10286393137931,مجوهرات غسان,26.455533,50.105292,Jewelry Store
205,As Salam Dist.,26.45445445,50.10286393137931,مطعم اصفهاني,26.455593875961327,50.10536263947626,Asian Restaurant
206,As Salam Dist.,26.45445445,50.10286393137931,لؤلؤة الشرق,26.452858,50.105027,Jewelry Store
207,As Salam Dist.,26.45445445,50.10286393137931,Joffrey's,26.455564127702473,50.10539778011927,Coffee Shop
208,As Salam Dist.,26.45445445,50.10286393137931,segafredo,26.454866,50.105707,Café
209,As Salam Dist.,26.45445445,50.10286393137931,My Vintage Home,26.45527,50.105652,Big Box Store
210,As Salam Dist.,26.45445445,50.10286393137931,واوان بروتين,26.456822,50.101504,Supplement Shop
211,As Salam Dist.,26.45445445,50.10286393137931,مجوهرات أريج,26.455613957698603,50.10562870485168,Jewelry Store
212,As Salam Dist.,26.45445445,50.10286393137931,Mamaroti (ماما روتي),26.455408862504566,50.105739147426085,Coffee Shop
